,cr_quad_scfh,PipeSize_inch,MeterCode,cr_allmeters_scfh,Flag_field_recorded,cr_Coriolis_gps,cr_scfh_mean30,cr_scfh_mean60,cr_scfh_mean90,TestLocation
2021-11-03 16:27:21+00:00,-17.4,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:27:22+00:00,-17.2,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:27:23+00:00,-16.6,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:27:24+00:00,-16.9,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:27:25+00:00,-16.9,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:27:26+00:00,-16.9,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:27:27+00:00,-16.7,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:27:28+00:00,-16.7,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:27:29+00:00,-17.0,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:27:30+00:00,-16.6,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:27:31+00:00,-16.1,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:27:32+00:00,-15.8,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:27:33+00:00,-15.7,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:27:34+00:00,-15.6,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:27:35+00:00,-17.2,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:27:36+00:00,-16.4,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:27:37+00:00,-16.7,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:27:38+00:00,-17.8,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:27:39+00:00,-17.1,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:27:40+00:00,-16.4,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:27:41+00:00,-16.2,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:27:42+00:00,-16.4,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:27:43+00:00,-16.0,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:27:44+00:00,-16.0,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:27:45+00:00,-16.8,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:27:46+00:00,-17.3,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:27:47+00:00,-17.4,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:27:48+00:00,-17.6,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:27:49+00:00,-17.1,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:27:50+00:00,-16.5,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:27:51+00:00,-16.0,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:27:52+00:00,-15.8,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:27:53+00:00,-15.7,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:27:54+00:00,-15.8,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:27:55+00:00,-15.7,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:27:56+00:00,-15.6,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:27:57+00:00,-15.6,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
