datetime,channel_1,channel_2,channel_3,channel_4,,
10/21/21 18:25:34,243084,>Range,>Range,>Range,,
10/21/21 18:25:35,243048,>Range,>Range,>Range,,
10/21/21 18:25:36,243135,>Range,>Range,>Range,,
10/21/21 18:25:37,243400,>Range,>Range,>Range,,
10/21/21 18:25:38,243167,>Range,>Range,>Range,,
10/21/21 18:25:39,242923,>Range,>Range,>Range,,
10/21/21 18:25:40,242344,>Range,>Range,>Range,,
10/21/21 18:25:41,242182,>Range,>Range,>Range,,
10/21/21 18:25:42,242049,>Range,>Range,>Range,,
10/21/21 18:25:43,241890,>Range,>Range,>Range,,
10/21/21 18:25:44,241816,>Range,>Range,>Range,,
10/21/21 18:25:45,241476,>Range,>Range,>Range,,
10/21/21 18:25:46,241420,>Range,>Range,>Range,,
10/21/21 18:25:47,241173,>Range,>Range,>Range,,
10/21/21 18:25:48,242005,>Range,>Range,>Range,,
10/21/21 18:25:49,242745,>Range,>Range,>Range,,
10/21/21 18:25:50,242728,>Range,>Range,>Range,,
10/21/21 18:25:51,242441,>Range,>Range,>Range,,
10/21/21 18:25:52,242289,>Range,>Range,>Range,,
10/21/21 18:25:53,242353,>Range,>Range,>Range,,
10/21/21 18:25:54,242323,>Range,>Range,>Range,,
10/21/21 18:25:55,242114,>Range,>Range,>Range,,
10/21/21 18:25:56,241783,>Range,>Range,>Range,,
10/21/21 18:25:57,241619,>Range,>Range,>Range,,
10/21/21 18:25:58,241557,>Range,>Range,>Range,,
10/21/21 18:25:59,241722,>Range,>Range,>Range,,
10/21/21 18:26:00,241689,>Range,>Range,>Range,,
10/21/21 18:26:01,241577,>Range,>Range,>Range,,
10/21/21 18:26:02,241673,>Range,>Range,>Range,,
10/21/21 18:26:03,241419,>Range,>Range,>Range,,
10/21/21 18:26:04,241470,>Range,>Range,>Range,,
10/21/21 18:26:05,241776,>Range,>Range,>Range,,
10/21/21 18:26:06,241784,>Range,>Range,>Range,,
10/21/21 18:26:07,241496,>Range,>Range,>Range,,
10/21/21 18:26:08,241263,>Range,>Range,>Range,,
