timestamp,g per s
10/20/2021 17:53:40,3.4479
10/20/2021 17:53:41,3.4499
10/20/2021 17:53:42,3.4508
10/20/2021 17:53:43,3.4516
10/20/2021 17:53:44,3.4523
10/20/2021 17:53:45,3.4527
10/20/2021 17:53:46,3.454
10/20/2021 17:53:47,3.4549
10/20/2021 17:53:48,3.4556
10/20/2021 17:53:49,3.4558
10/20/2021 17:53:50,3.4548
10/20/2021 17:53:51,3.453
10/20/2021 17:53:52,3.4524
10/20/2021 17:53:53,3.452
10/20/2021 17:53:54,3.4517
10/20/2021 17:53:55,3.4521
10/20/2021 17:53:56,3.4524
10/20/2021 17:53:57,3.4531
10/20/2021 17:53:58,3.4534
10/20/2021 17:53:59,3.4537
10/20/2021 17:54:00,3.4545
10/20/2021 17:54:01,3.4559
10/20/2021 17:54:02,3.4578
10/20/2021 17:54:03,3.4581
10/20/2021 17:54:04,3.4586
10/20/2021 17:54:05,3.459
10/20/2021 17:54:06,3.4599
10/20/2021 17:54:07,3.4599
10/20/2021 17:54:08,3.4594
10/20/2021 17:54:09,3.4583
10/20/2021 17:54:10,3.4569
10/20/2021 17:54:11,3.455
10/20/2021 17:54:12,3.4536
10/20/2021 17:54:13,3.4531
10/20/2021 17:54:14,3.453
10/20/2021 17:54:15,3.4533
10/20/2021 17:54:16,3.4538
10/20/2021 17:54:17,3.4545
10/20/2021 17:54:18,3.4545
10/20/2021 17:54:19,3.4537
10/20/2021 17:54:20,3.4535
10/20/2021 17:54:21,3.4543
10/20/2021 17:54:22,3.4549
10/20/2021 17:54:23,3.4547
10/20/2021 17:54:24,3.453
10/20/2021 17:54:25,3.451
10/20/2021 17:54:26,3.449
10/20/2021 17:54:27,3.4468
10/20/2021 17:54:28,3.445
10/20/2021 17:54:29,3.4449
10/20/2021 17:54:30,3.4436
10/20/2021 17:54:31,3.4436
10/20/2021 17:54:32,3.4433
10/20/2021 17:54:33,3.4428
10/20/2021 17:54:34,3.4427
10/20/2021 17:54:35,3.4426
10/20/2021 17:54:36,3.4418
10/20/2021 17:54:37,3.4411
10/20/2021 17:54:38,3.4397
10/20/2021 17:54:39,3.4374
10/20/2021 17:54:40,3.4359
10/20/2021 17:54:41,3.4351
10/20/2021 17:54:42,3.4349
10/20/2021 17:54:43,3.4341
10/20/2021 17:54:44,3.4329
10/20/2021 17:54:45,3.4324
10/20/2021 17:54:46,3.4325
10/20/2021 17:54:47,3.4325
10/20/2021 17:54:48,3.4312
10/20/2021 17:54:49,3.4304
10/20/2021 17:54:50,3.4293
10/20/2021 17:54:51,3.4289
10/20/2021 17:54:52,3.4289
10/20/2021 17:54:53,3.429
10/20/2021 17:54:54,3.429
10/20/2021 17:54:55,3.4285
10/20/2021 17:54:56,3.4281
10/20/2021 17:54:57,3.428
10/20/2021 17:54:58,3.4292
10/20/2021 17:54:59,3.4305
10/20/2021 17:55:00,3.4324
10/20/2021 17:55:01,3.4336
10/20/2021 17:55:02,3.4344
10/20/2021 17:55:03,3.4348
10/20/2021 17:55:04,3.4342
10/20/2021 17:55:05,3.4329
10/20/2021 17:55:06,3.4316
